Project,BugID,Filename,Path,Method name,Path,Exception,Label,,Unique Exception,,Filename,,,Method name
Birt,116355,PreparedQuery.java,org.eclipse.birt.data.engine.impl.PreparedQuery$Executor,prepareExecution,org.eclipse.birt.data.engine.impl.PreparedQuery$Executor,SQL Exception,,,,,TestExecution.java,,,doAs
Birt,116355,PreparedQuery.java,org.eclipse.birt.data.engine.impl.PreparedQuery$Executor,access$000,org.eclipse.birt.data.engine.impl.PreparedQuery$Executor,SQL Exception,,,,,RemoteTestRunner.java,,,runAs
Birt,116355,PreparedQuery.java,org.eclipse.birt.data.engine.impl.PreparedQuery,doPrepare,org.eclipse.birt.data.engine.impl.PreparedQuery,SQL Exception,,,,,RemotePluginTestRunner.java,,,securedExecute
Birt,116355,PreparedDataSourceQuery.java,org.eclipse.birt.data.engine.impl.PreparedDataSourceQuery,execute,org.eclipse.birt.data.engine.impl.PreparedDataSourceQuery,SQL Exception,,,,,CoreTestApplication.java,,,execute
Birt,116355,DataSetManager.java,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,execute,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,SQL Exception,,,,,EclipseAppLauncher.java,,,run
Birt,116355,DataSetManager.java,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,getColumns,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,SQL Exception,,,,,TableEditorImpl.java,,,execute
Birt,116355,DataSetManager.java,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,refresh,org.eclipse.birt.report.designer.internal.ui.util.DataSetManager,SQL Exception,,,,,TableViewer.java,,,run
Birt,116355,DataViewTreeViewerPage.java,org.eclipse.birt.report.designer.internal.ui.views.data.DataViewTreeViewerPage$2,run,org.eclipse.birt.report.designer.internal.ui.views.data.DataViewTreeViewerPage$2,SQL Exception,,,,,TypedListener.java,,,createGetParameterDefinitionTask
Birt,116355,RunnableLock.java,org.eclipse.swt.widgets.RunnableLock,run,org.eclipse.swt.widgets.RunnableLock,SQL Exception,,,,,DataEditPart.java,,,createGetParameterDefinitionTask
Birt,116355,Synchronizer.java,org.eclipse.swt.widgets.Synchronizer,runAsyncMessages,org.eclipse.swt.widgets.Synchronizer,SQL Exception,,,,,BaseInsertMenuAction.java,,,createGetParameterDefinitionTask
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,runAsyncMessages,org.eclipse.swt.widgets.Display,SQL Exception,,,,,ExecutionContext.java,,,getParameterDefinitionTask
Birt,116355,Statement.java,org.eclipse.birt.report.data.oda.jdbc.Statement,prepare,org.eclipse.birt.report.data.oda.jdbc.Statement,SQL Exception,,,,,ReportContentLoaderV2.java,,,getParameterDefinitions
Birt,116355,OdaQuery.java,org.eclipse.datatools.connectivity.oda.consumer.helper.OdaQuery,doPrepare,org.eclipse.datatools.connectivity.oda.consumer.helper.OdaQuery,SQL Exception,,,,,ReportContentLoader.java,,,__initParameters
